iter	Passed	Remaining
401	14768	3600
402	14802	3562
403	14839	3526
404	14873	3488
405	14906	3451
406	14944	3414
407	14981	3378
408	15015	3340
409	15048	3303
410	15082	3266
411	15117	3229
412	15151	3191
413	15182	3153
414	15212	3115
415	15248	3078
416	15283	3042
417	15326	3006
418	15358	2969
419	15393	2932
420	15426	2894
421	15469	2859
422	15503	2822
423	15539	2785
424	15574	2748
425	15618	2713
426	15655	2676
427	15687	2639
428	15723	2602
429	15757	2565
430	15792	2528
431	15827	2491
432	15863	2454
433	15897	2417
434	15928	2380
435	15962	2343
436	16006	2307
437	16043	2270
438	16078	2234
439	16113	2197
440	16155	2161
441	16190	2124
442	16225	2087
443	16258	2050
444	16303	2015
445	16336	1977
446	16375	1941
447	16426	1906
448	16459	1869
449	16495	1832
450	16527	1795
451	16574	1760
452	16608	1723
453	16640	1685
454	16672	1648
455	16704	1611
456	16738	1574
457	16772	1538
458	16806	1501
459	16837	1464
460	16869	1427
461	16914	1391
462	16948	1354
463	16985	1317
464	17049	1283
465	17099	1247
466	17133	1210
467	17168	1173
468	17221	1138
469	17256	1101
470	17290	1064
471	17322	1027
472	17355	990
473	17389	953
474	17427	917
475	17462	880
476	17502	843
477	17535	807
478	17568	770
479	17612	733
480	17645	697
481	17717	661
482	17752	624
483	17785	587
484	17827	551
485	17864	514
486	17898	477
487	17933	440
488	17966	404
489	18000	367
490	18064	331
491	18099	294
492	18133	257
493	18170	220
494	18204	183
495	18257	147
496	18291	110
497	18328	73
498	18362	36
499	18398	0
